날짜,시도,측정소,PM10,PM25
2016-01-01,서울,중구,77,53
2016-01-02,서울,중구,60,26
2016-01-03,서울,중구,120,71
2016-01-04,서울,중구,128,86
2016-01-05,서울,중구,43,17
2016-01-06,서울,중구,69,30
2016-01-07,서울,중구,62,31
2016-01-08,서울,중구,43,21
2016-01-09,서울,중구,43,24
2016-01-10,서울,중구,31,15
2016-01-11,서울,중구,63,22
2016-01-12,서울,중구,64,29
2016-01-13,서울,중구,42,19
2016-01-14,서울,중구,45,20
2016-01-15,서울,중구,69,34
2016-01-16,서울,중구,69,41
2016-01-17,서울,중구,81,52
2016-01-18,서울,중구,72,51
2016-01-19,서울,중구,34,15
2016-01-20,서울,중구,41,17
2016-01-21,서울,중구,71,32
2016-01-22,서울,중구,66,31
2016-01-23,서울,중구,29,6
2016-01-24,서울,중구,37,8
2016-01-25,서울,중구,78,22
2016-01-26,서울,중구,75,34
2016-01-27,서울,중구,57,39
2016-01-28,서울,중구,55,29
2016-01-29,서울,중구,45,17
2016-01-30,서울,중구,71,31
2016-01-31,서울,중구,59,28
2016-01-01,서울,종로구,84,63
2016-01-02,서울,종로구,58,42
2016-01-03,서울,종로구,138,95
2016-01-04,서울,종로구,146,101
2016-01-05,서울,종로구,37,25
2016-01-06,서울,종로구,57,32
2016-01-07,서울,종로구,54,32
2016-01-08,서울,종로구,42,32
2016-01-09,서울,종로구,41,28
2016-01-10,서울,종로구,29,17
2016-01-11,서울,종로구,52,35
2016-01-12,서울,종로구,54,33
2016-01-13,서울,종로구,43,27
2016-01-14,서울,종로구,44,36
2016-01-15,서울,종로구,74,61
2016-01-16,서울,종로구,75,72
2016-01-17,서울,종로구,81,76
2016-01-18,서울,종로구,73,67
2016-01-19,서울,종로구,30,17
2016-01-20,서울,종로구,40,29
2016-01-21,서울,종로구,65,51
2016-01-22,서울,종로구,63,48
2016-01-23,서울,종로구,25,15
2016-01-24,서울,종로구,32,10
2016-01-25,서울,종로구,70,26
2016-01-26,서울,종로구,74,52
2016-01-27,서울,종로구,43,46
2016-01-28,서울,종로구,59,39
2016-01-29,서울,종로구,58,35
2016-01-30,서울,종로구,66,42
2016-01-31,서울,종로구,63,39
2016-01-01,서울,용산구,71,58
2016-01-02,서울,용산구,51,37
2016-01-03,서울,용산구,124,92
2016-01-04,서울,용산구,124,94
2016-01-05,서울,용산구,28,21
2016-01-06,서울,용산구,50,33
2016-01-07,서울,용산구,45,31
2016-01-08,서울,용산구,29,20
2016-01-09,서울,용산구,32,23
2016-01-10,서울,용산구,21,19
2016-01-11,서울,용산구,45,24
2016-01-12,서울,용산구,44,26
2016-01-13,서울,용산구,32,21
2016-01-14,서울,용산구,37,30
2016-01-15,서울,용산구,54,40
2016-01-16,서울,용산구,56,45
2016-01-17,서울,용산구,61,46
2016-01-18,서울,용산구,70,51
2016-01-19,서울,용산구,20,15
2016-01-20,서울,용산구,31,23
2016-01-21,서울,용산구,51,38
2016-01-22,서울,용산구,50,40
2016-01-23,서울,용산구,17,13
2016-01-24,서울,용산구,29,12
2016-01-25,서울,용산구,51,25
2016-01-26,서울,용산구,58,42
2016-01-27,서울,용산구,54,34
2016-01-28,서울,용산구,46,31
2016-01-29,서울,용산구,44,34
2016-01-30,서울,용산구,50,34
2016-01-31,서울,용산구,43,32
2016-01-01,서울,광진구,98,75
2016-01-02,서울,광진구,77,51
2016-01-03,서울,광진구,153,109
2016-01-04,서울,광진구,161,117
2016-01-05,서울,광진구,37,24
2016-01-06,서울,광진구,58,35
2016-01-07,서울,광진구,54,35
2016-01-08,서울,광진구,45,27
2016-01-09,서울,광진구,37,28
2016-01-10,서울,광진구,30,21
2016-01-11,서울,광진구,51,31
2016-01-12,서울,광진구,54,32
2016-01-13,서울,광진구,43,28
2016-01-14,서울,광진구,48,36
2016-01-15,서울,광진구,72,55
2016-01-16,서울,광진구,72,55
2016-01-17,서울,광진구,72,56
2016-01-18,서울,광진구,72,58
2016-01-19,서울,광진구,33,20
2016-01-20,서울,광진구,63,44
2016-01-21,서울,광진구,64,43
2016-01-22,서울,광진구,68,45
2016-01-23,서울,광진구,34,21
2016-01-24,서울,광진구,32,20
2016-01-25,서울,광진구,73,30
2016-01-26,서울,광진구,84,58
2016-01-27,서울,광진구,72,51
2016-01-28,서울,광진구,76,49
2016-01-29,서울,광진구,74,47
2016-01-30,서울,광진구,71,48
2016-01-31,서울,광진구,65,40
2016-01-01,서울,성동구,102,64
2016-01-02,서울,성동구,47,38
2016-01-03,서울,성동구,0,85
2016-01-04,서울,성동구,21,92
2016-01-05,서울,성동구,44,20
2016-01-06,서울,성동구,79,30
2016-01-07,서울,성동구,75,39
2016-01-08,서울,성동구,46,18
2016-01-09,서울,성동구,40,22
2016-01-10,서울,성동구,33,13
2016-01-11,서울,성동구,53,23
2016-01-12,서울,성동구,59,25
2016-01-13,서울,성동구,50,22
2016-01-14,서울,성동구,54,18
2016-01-15,서울,성동구,82,34
2016-01-16,서울,성동구,75,37
2016-01-17,서울,성동구,98,57
2016-01-18,서울,성동구,87,50
2016-01-19,서울,성동구,32,13
2016-01-20,서울,성동구,46,25
2016-01-21,서울,성동구,77,34
2016-01-22,서울,성동구,76,40
2016-01-23,서울,성동구,42,19
2016-01-24,서울,성동구,36,12
2016-01-25,서울,성동구,85,23
2016-01-26,서울,성동구,85,33
2016-01-27,서울,성동구,66,38
2016-01-28,서울,성동구,69,24
2016-01-29,서울,성동구,63,35
2016-01-30,서울,성동구,79,35
2016-01-31,서울,성동구,70,47
2016-01-01,서울,중랑구,80,51
2016-01-02,서울,중랑구,69,40
2016-01-03,서울,중랑구,144,80
